Information-entropy data versus alpha for ave_deg=20
==================================================

Data description:
- Column 1: alpha value
- Column 2: corresponding information-entropy value
- Number of rows: number of data points

Data content:
--------------------------------------------------
Alpha      Information Entropy 
--------------------------------------------------
0.00       7.137869            
0.10       7.162205            
0.20       7.186849            
0.30       7.209119            
0.40       7.227862            
0.50       7.244129            
0.60       7.258320            
0.70       7.267870            
0.80       7.272941            
0.90       7.268749            
1.00       7.247285            
1.10       7.193247            
1.20       7.079201            
1.30       6.860227            
1.40       6.461829            
1.50       5.841686            
1.60       4.963074            
1.70       3.895435            
1.80       2.774187            
1.90       1.780643            
2.00       1.073714            
