Information-entropy data versus alpha for ave_deg=3
==================================================

Data description:
- Column 1: alpha value
- Column 2: corresponding information-entropy value
- Number of rows: number of data points

Data content:
--------------------------------------------------
Alpha      Information Entropy 
--------------------------------------------------
0.00       3.021308            
0.10       3.056491            
0.20       3.093308            
0.30       3.126787            
0.40       3.163107            
0.50       3.196937            
0.60       3.237338            
0.70       3.268935            
0.80       3.300979            
0.90       3.332497            
1.00       3.356298            
1.10       3.363456            
1.20       3.322202            
1.30       3.171336            
1.40       2.872539            
1.50       2.379602            
1.60       1.769037            
1.70       1.171677            
1.80       0.751300            
1.90       0.509351            
2.00       0.383489            
