Information-entropy data versus alpha for ave_deg=6
==================================================

Data description:
- Column 1: alpha value
- Column 2: corresponding information-entropy value
- Number of rows: number of data points

Data content:
--------------------------------------------------
Alpha      Information Entropy 
--------------------------------------------------
0.00       4.574522            
0.10       4.604504            
0.20       4.633797            
0.30       4.664451            
0.40       4.694623            
0.50       4.720212            
0.60       4.751489            
0.70       4.774266            
0.80       4.795365            
0.90       4.813980            
1.00       4.818912            
1.10       4.793574            
1.20       4.709813            
1.30       4.517065            
1.40       4.149220            
1.50       3.567636            
1.60       2.793237            
1.70       1.934769            
1.80       1.222706            
1.90       0.773553            
2.00       0.513901            
