Information-entropy data versus alpha for ave_deg=11
==================================================

Data description:
- Column 1: alpha value
- Column 2: corresponding information-entropy value
- Number of rows: number of data points

Data content:
--------------------------------------------------
Alpha      Information Entropy 
--------------------------------------------------
0.00       5.887405            
0.10       5.914832            
0.20       5.941762            
0.30       5.965981            
0.40       5.992878            
0.50       6.016275            
0.60       6.033593            
0.70       6.051541            
0.80       6.064325            
0.90       6.069602            
1.00       6.060986            
1.10       6.017028            
1.20       5.913577            
1.30       5.697678            
1.40       5.304542            
1.50       4.682572            
1.60       3.845033            
1.70       2.859492            
1.80       1.895796            
1.90       1.164921            
2.00       0.727194            
