Information-entropy data versus alpha for ave_deg=12
==================================================

Data description:
- Column 1: alpha value
- Column 2: corresponding information-entropy value
- Number of rows: number of data points

Data content:
--------------------------------------------------
Alpha      Information Entropy 
--------------------------------------------------
0.00       6.073432            
0.10       6.100278            
0.20       6.125734            
0.30       6.152058            
0.40       6.176734            
0.50       6.195998            
0.60       6.215844            
0.70       6.231291            
0.80       6.243581            
0.90       6.247112            
1.00       6.235890            
1.10       6.190766            
1.20       6.083774            
1.30       5.866564            
1.40       5.476410            
1.50       4.857784            
1.60       4.007748            
1.70       3.005905            
1.80       2.007190            
1.90       1.230375            
2.00       0.767386            
