Information-entropy data versus alpha for ave_deg=10
==================================================

Data description:
- Column 1: alpha value
- Column 2: corresponding information-entropy value
- Number of rows: number of data points

Data content:
--------------------------------------------------
Alpha      Information Entropy 
--------------------------------------------------
0.00       5.682789            
0.10       5.711320            
0.20       5.738273            
0.30       5.766562            
0.40       5.790144            
0.50       5.814738            
0.60       5.835149            
0.70       5.851805            
0.80       5.867521            
0.90       5.873260            
1.00       5.865604            
1.10       5.827017            
1.20       5.724746            
1.30       5.508570            
1.40       5.120057            
1.50       4.507685            
1.60       3.682515            
1.70       2.707730            
1.80       1.766862            
1.90       1.088162            
2.00       0.688188            
